,family,genus,species
35072,Bunyaviridae,Hantavirus,Sorex araneus hantavirus
35075,Betaflexiviridae,Vitivirus,Grapevine virus E
35267,Bunyaviridae,Hantavirus,Artybash virus
35268,Bunyaviridae,Hantavirus,Altai virus
35280,Totiviridae,,Debaryomyces hansenii virus JB-2008
35353,Geminiviridae,Begomovirus,Pepper leaf curl Yunnan virus
35386,Reoviridae,Fijivirus,Southern rice black-streaked dwarf virus
35387,Potyviridae,Potyvirus,Ecuadorian rocoto virus
35443,Geminiviridae,Mastrevirus,Urochloa streak virus
35444,Inoviridae,Inovirus,Ralstonia phage RSM3
35454,Caliciviridae,,St-Valerien swine virus
35647,Closteroviridae,Crinivirus,Strawberry crinivirus 4
35693,Reoviridae,Orthoreovirus,Ostrich orthoreovirus Ost1
35694,Potyviridae,Potyvirus,Zantedeschia mild mosaic virus - New Zealand
35738,Astroviridae,Mamastrovirus,Cheetah astrovirus 1
35739,Betaflexiviridae,Carlavirus,Sint-Jan's onion latent virus
35748,Geminiviridae,Begomovirus,Tomato leaf curl Palampur virus
35894,Birnaviridae,Aquabirnavirus,Aquabirnavirus TAB98
35897,Bunyaviridae,Hantavirus,Serang virus
36106,Reoviridae,Orthoreovirus,Psittacine orthoreovirus SRK/Germany/2007
36107,Partitiviridae,Alphapartitivirus,Chondrostereum purpureum cryptic virus 1
36155,Geminiviridae,Begomovirus,Rhynchosia yellow mosaic virus
36180,Potyviridae,Potyvirus,Veltheimia virus Y
36201,Parvoviridae,,Bombyx mori densovirus Zhenjiang
36584,Geminiviridae,Begomovirus,Tobacco mottle leaf curl virus
37171,Alphaflexiviridae,Potexvirus,Potexvirus ST4
37172,Alphaflexiviridae,Potexvirus,Potexvirus ST5
37350,Tombusviridae,Pelarspovirus,Rosa rugosa leaf distortion virus
37354,Geminiviridae,Begomovirus,Blainvillea yellow spot virus
37355,Geminiviridae,Begomovirus,Sida common mosaic virus
37356,Geminiviridae,Begomovirus,Sida yellow leaf curl virus
37357,Geminiviridae,Begomovirus,Tomato common mosaic virus
37358,Geminiviridae,Begomovirus,Tomato leaf distortion virus
37359,Geminiviridae,Begomovirus,Tomato mild mosaic virus
37435,Rudiviridae,Rudivirus,Stygiolobus rod-shaped virus
37437,Flaviviridae,Flavivirus,Calbertado virus
37566,Geminiviridae,Begomovirus,TYLCV/TYLCSV recombinant Ragusa/2004
37822,Secoviridae,Nepovirus,Cocoa necrosis virus
38391,Bunyaviridae,,Phasi Charoen virus 1
38407,Geminiviridae,Begomovirus,Jatropha leaf curl virus
38410,Lavidaviridae,Sputnikvirus,Mimivirus-dependent virus Sputnik
38444,Reoviridae,Orbivirus,California mosquito pool virus
38445,Reoviridae,Orthoreovirus,Skunk orthoreovirus
38446,Picornaviridae,Sapelovirus,Sapelovirus B
38447,Metaviridae,,Ananas metavirus pC17Dea2
38452,Tymoviridae,,Tomato yellow blotch virus
38454,Astroviridae,Avastrovirus,Chicken astrovirus 2
38534,Bromoviridae,Bromovirus,Melandrium yellow fleck virus
38805,Alphaflexiviridae,Allexivirus,Shallot mite-borne latent virus
38831,Luteoviridae,Polerovirus,Beet eastern yellows virus
38863,Tymoviridae,Tymovirus,Diascia yellow mottle virus
38864,Rhabdoviridae,Nucleorhabdovirus,Cynodon rhabdovirus RLL-2008
38907,Astroviridae,Mamastrovirus,Bat astrovirus 1
38929,Tymoviridae,Maculavirus,Fig fleck-associated virus
38933,Geminiviridae,Begomovirus,Tomato leaf curl Kumasi virus
38964,Coronaviridae,Betacoronavirus,Bat coronavirus R.aur/Australia/CoV000/2006
38965,Coronaviridae,Alphacoronavirus,Bat coronavirus M.mac/Australia/CoV034/2008
38966,Coronaviridae,Alphacoronavirus,Bat coronavirus M.aus/Australia/CoV088/2007
38967,Coronaviridae,Alphacoronavirus,Bat coronavirus R.meg/Australia/CoV100/2007
38968,Coronaviridae,Alphacoronavirus,Bat coronavirus M.aus/Australia/CoV132/2007
38969,Coronaviridae,Alphacoronavirus,Bat coronavirus M.sch/Australia/CoV146/2007
38970,Coronaviridae,Alphacoronavirus,Bat coronavirus M.aus/Australia/CoV180/1996
38982,Potyviridae,Potyvirus,Passiflora chlorosis virus
39017,Parvoviridae,,Dysaphis plantaginea densovirus
39061,Closteroviridae,Closterovirus,Carnation necrotic fleck virus
39097,Geminiviridae,Begomovirus,Tomato leaf curl Kerala virus
39191,Birnaviridae,Aquabirnavirus,Aquabirnavirus NZ10
39192,Birnaviridae,Aquabirnavirus,Aquabirnavirus NZ6
39193,Birnaviridae,Aquabirnavirus,Aquabirnavirus TAB02
39218,Dicistroviridae,Cripavirus,Pteromalus puparum small RNA-containing virus
39219,Betaflexiviridae,Carlavirus,Carrot carlavirus WM-2008
39272,Rhabdoviridae,,Tai Forest rhabdovirus
39560,Potyviridae,Potyvirus,Snowdrop virus Y
39579,Nodaviridae,Betanodavirus,Oreochromis niloticus virus LB-2007
39592,Geminiviridae,Begomovirus,Okra mottle virus
39815,Totiviridae,,Armigeres subalbatus virus SaX06-AK20
39834,Reoviridae,,Diaphorina citri reovirus
39843,Geminiviridae,Begomovirus,Mentha virus India BKB-2008
39887,Closteroviridae,Crinivirus,Cucurbit chlorotic yellows virus
39891,Reoviridae,Orbivirus,Stretch Lagoon orbivirus
39900,Geminiviridae,Begomovirus,Clerodendron leaf curl virus
39901,Geminiviridae,Begomovirus,Tomato leaf curl Fontem virus
39904,Geminiviridae,Begomovirus,Clerodendrum golden mosaic China virus
39912,Potyviridae,Potyvirus,Vallota speciosa virus - Narcissus/GBR/2008
39913,Flaviviridae,Flavivirus,Culex theileri flavivirus PoMoFlav_A131
39914,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A103
39915,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A126
39916,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A128
39917,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A136
39918,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A153
39919,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A155
39920,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A163
39921,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A91
39922,Flaviviridae,Flavivirus,Culicinae flavivirus PoMoFlav_A95
40065,Bunyaviridae,Hantavirus,Hantavirus Fusong-Mf-732
40066,Bunyaviridae,Hantavirus,Hantavirus Shenyang-Mf-135
40067,Bunyaviridae,Hantavirus,Hantavirus Shenyang-Mf-136
40068,Bunyaviridae,Hantavirus,Hantavirus Yuanjiang-Mf-13
40069,Bunyaviridae,Hantavirus,Hantavirus Yuanjiang-Mf-15
40070,Bunyaviridae,Hantavirus,Hantavirus Yuanjiang-Mf-21
40071,Bunyaviridae,Hantavirus,Hantavirus Yuanjiang-Mf-78
40162,Coronaviridae,,Tai Forest coronavirus
40212,Geminiviridae,Begomovirus,Jatropha yellow mosaic India virus
40400,Bunyaviridae,Hantavirus,Asama virus
40402,Geminiviridae,Begomovirus,Tomato yellow distortion leaf virus
40403,Geminiviridae,Begomovirus,Capsicum begomovirus Cuba/2007
40404,Geminiviridae,Begomovirus,Tobacco yellow crinkle virus
40492,Potyviridae,Potyvirus,Malva vein clearing virus
40493,Filoviridae,Ebolavirus,Bundibugyo ebolavirus
40605,Astroviridae,Mamastrovirus,Canine astrovirus 1
40624,Coronaviridae,Alphacoronavirus,Bat coronavirus Trinidad/1FY2BA/2007
40625,Coronaviridae,Alphacoronavirus,Bat coronavirus Trinidad/1CO7BA/2007
40706,Partitiviridae,Alphapartitivirus,Flammulina velutipes browning virus
40832,Astroviridae,,Astrovirus MLB1
40834,Bromoviridae,Ilarvirus,Tomato necrotic spot virus
40857,Picornaviridae,Kobuvirus,Aichivirus C
41075,Geminiviridae,Begomovirus,Jatropha mosaic India virus
41076,Astroviridae,Avastrovirus,Duck astrovirus GII.A
41126,Potyviridae,Potyvirus,Delphinium vein-clearing virus
41269,Luteoviridae,Polerovirus,Wheat yellow dwarf virus-GPV
41271,Coronaviridae,Deltacoronavirus,Bulbul coronavirus HKU11
41273,Coronaviridae,Deltacoronavirus,Munia coronavirus HKU13
41274,Coronaviridae,Deltacoronavirus,Thrush coronavirus HKU12
41418,Picobirnaviridae,Picobirnavirus,Picobirnavirus dog/BR-01/BRA/2004
41419,Picobirnaviridae,Picobirnavirus,Picobirnavirus snake/BR-01/BRA/2006
41420,Picobirnaviridae,Picobirnavirus,Picobirnavirus rat/BR-01/BRA/2006
41421,Picobirnaviridae,Picobirnavirus,Picobirnavirus rat/BR-02/BRA/2006
41432,Geminiviridae,Begomovirus,Tobacco begomovirus - [Cuba:Granma:2007]
41433,Geminiviridae,Begomovirus,Tomato begomovirus - [Cuba:Granma:2007]
41434,Potyviridae,Potyvirus,Lupine mosaic virus
41453,Arenaviridae,,Morogoro mammarenavirus
41485,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 2
41505,Tombusviridae,Umbravirus,Fig umbravirus JJW-2008
41506,Closteroviridae,,Fig closterovirus JJW-2008
41518,Geminiviridae,Begomovirus,Sweet potato leaf curl Lanzarote virus
41540,Geminiviridae,Begomovirus,Tomato leaf curl Patna virus
41562,Parvoviridae,Dependoparvovirus,Serpentine adeno-associated virus 2
41583,Rhabdoviridae,Cytorhabdovirus,Soybean blotchy mosaic virus
41656,Caliciviridae,Lagovirus,Rabbit calicivirus Australia 1 MIC-07
41667,Flaviviridae,Flavivirus,T'Ho virus
41681,Picornaviridae,Enterovirus,Bottlenose dolphin enterovirus
41703,Potyviridae,Potyvirus,Daphne mosaic virus
41713,Reoviridae,,Bat den cave reovirus
41716,Bromoviridae,Cucumovirus,Gayfeather mild mottle virus
41722,Tombusviridae,Gammacarmovirus,Soybean yellow mottle mosaic virus
41869,Geminiviridae,Begomovirus,Sunn hemp leaf distortion virus
41942,Paramyxoviridae,Avulavirus,Avian paramyxovirus 9
41943,Partitiviridae,,Raphanus sativus cryptic virus 3
42100,Rhabdoviridae,Vesiculovirus,Recombinant vesicular stomatitis Indiana virus rVSV-G/GFP
42194,Bunyaviridae,Tospovirus,Tomato necrotic ringspot virus
42374,Picobirnaviridae,Picobirnavirus,uncultured picobirnavirus
42461,Picornaviridae,Cosavirus,Cosavirus A
42597,Arenaviridae,Arenavirus,Orogrande virus
42598,Arenaviridae,Arenavirus,Black Mesa virus
42682,Geminiviridae,Begomovirus,Pedilanthus leaf curl virus
42692,Bunyaviridae,Hantavirus,Hantavirus 2036 Biritiba Mirim
42693,Bunyaviridae,Hantavirus,Hantavirus 2062 Biritiba Mirim
42694,Bunyaviridae,Hantavirus,Hantavirus 2063 Biritiba Mirim
42695,Bunyaviridae,Hantavirus,Hantavirus 2064 Biritiba Mirim
42696,Bunyaviridae,Hantavirus,Hantavirus 2066 Biritiba Mirim
42697,Bunyaviridae,Hantavirus,Hantavirus 2070 Biritiba Mirim
42698,Bunyaviridae,Hantavirus,Hantavirus 2071 Biritiba Mirim
42699,Bunyaviridae,Hantavirus,Hantavirus 2072 Biritiba Mirim
42700,Bunyaviridae,Hantavirus,Hantavirus 2075 Biritiba Mirim
42701,Bunyaviridae,Hantavirus,Hantavirus 2076 Biritiba Mirim
42702,Bunyaviridae,Hantavirus,Hantavirus 2145 Biritiba Mirim
42703,Bunyaviridae,Hantavirus,Hantavirus 2303 Biritiba Mirim
42704,Bunyaviridae,Hantavirus,Hantavirus 2306 Biritiba Mirim
42705,Bunyaviridae,Hantavirus,Hantavirus 2315 Biritiba Mirim
42706,Bunyaviridae,Hantavirus,Hantavirus 2319 Biritiba Mirim
42707,Bunyaviridae,Hantavirus,Hantavirus 2336 Biritiba Mirim
42708,Geminiviridae,Begomovirus,Bhendi yellow vein Delhi virus
42748,Potyviridae,Potyvirus,Begonia flower breaking virus
42753,Paramyxoviridae,,Paramyxovirus bat/GH10/2008
42754,Paramyxoviridae,,Paramyxovirus bat/GH16/2008
42755,Paramyxoviridae,,Paramyxovirus bat/GH18/2008
42756,Paramyxoviridae,,Paramyxovirus bat/GH33/2008
42757,Paramyxoviridae,,Paramyxovirus bat/GH36/2008
42758,Paramyxoviridae,,Paramyxovirus bat/GH47/2008
42759,Paramyxoviridae,,Paramyxovirus bat/GH48/2008
42760,Nodaviridae,,Morone saxatilis nervous necrosis virus
42761,Partitiviridae,Alphapartitivirus,Carrot cryptic virus
42764,Betaflexiviridae,Carlavirus,Red clover vein mosaic virus
42765,Betaflexiviridae,Carlavirus,Sedum latent virus
42776,Paramyxoviridae,,Nariva virus
42779,Potyviridae,Potyvirus,Arisaema potyvirus 1
42780,Potyviridae,Potyvirus,Arisaema potyvirus 2
42787,Geminiviridae,Begomovirus,Bhendi yellow vein Bhubhaneswar virus
42788,Amalgaviridae,,Southern tomato virus
42799,Betaflexiviridae,Carlavirus,Helleborus net necrosis virus
42800,Betaflexiviridae,Carlavirus,Helleborus mosaic virus
42917,Cystoviridae,,Pseudomonas phage phi2954
42983,Secoviridae,Comovirus,Broad bean stain virus
42984,Bromoviridae,Ilarvirus,Bacopa chlorosis virus
43090,Reoviridae,Orbivirus,Sandy Bay Virus
43119,Potyviridae,Potyvirus,Iris potyvirus Sep2005/NZL
43126,Birnaviridae,,Rotifer birnavirus strain Palavas
43128,Reoviridae,Cypovirus,Cypovirus mosquito/0507BS3/Xinjiang
43130,Nodaviridae,Betanodavirus,Chanos chanos nervous necrosis virus
43131,Nodaviridae,Betanodavirus,Mystus gulio nervous necrosis virus
43149,Potyviridae,Macluravirus,Yam chlorotic necrotic mosaic virus
43150,Geminiviridae,Begomovirus,Euphorbia yellow mosaic virus
43172,Potyviridae,Potyvirus,Trillium crinkled leaf virus
43191,Bunyaviridae,,Gouleako virus
43192,Geminiviridae,Mastrevirus,Sweetpotato symptomless mastrevirus 1
43193,Picobirnaviridae,Picobirnavirus,Picobirnavirus rat/BR-03/BRA/2006
43194,Picobirnaviridae,Picobirnavirus,Picobirnavirus dog/BR-02/BRA/2004
43195,Geminiviridae,Begomovirus,TYLCAxV-Sic1-[IT:Sic2/2:04]
43196,Geminiviridae,Begomovirus,TYLCAxV-Sic2-[IT:Sic2/5:04]
43212,Parvoviridae,Dependoparvovirus,Adeno-associated virus - Po1
43213,Parvoviridae,Dependoparvovirus,Adeno-associated virus - Po2
43214,Parvoviridae,Dependoparvovirus,Adeno-associated virus - Po3
43216,Chrysoviridae,Chrysovirus,Aspergillus fumigatus chrysovirus
43347,Bunyaviridae,Orthobunyavirus,Tacaiuma virus
43349,Bunyaviridae,Orthobunyavirus,Batama orthobunyavirus
43402,Geminiviridae,Begomovirus,Begomovirus wax gourd/Suphan Buri2008/Feb2008
43403,Geminiviridae,Begomovirus,Begomovirus loofah/Khon Kaen2008/Feb2008
43404,Geminiviridae,Begomovirus,Begomovirus pumpkin/Suphan Buri/Mar2008
43406,Geminiviridae,Begomovirus,Tomato leaf curl Nigeria virus
43609,Tymoviridae,,Mertensia leaf curl virus
43672,Paramyxoviridae,Avulavirus,Avian paramyxovirus 7
43681,Coronaviridae,,Bat coronavirus Hipposideros/GhanaBoo/344/2008
43682,Coronaviridae,,Bat coronavirus Hipposideros/GhanaBoo/348/2008
43683,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/10/2008
43684,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/13/2008
43685,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/19/2008
43686,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/20/2008
43687,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/22/2008
43688,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/24/2008
43689,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/26/2008
43690,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/27/2008
43691,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/31/2008
43692,Coronaviridae,,Bat coronavirus Hipposideros/GhanaKwam/8/2008
43693,Paramyxoviridae,Avulavirus,Avian paramyxovirus 8
43779,Iflaviridae,Iflavirus,Nasonia vitripennis virus
43783,Tymoviridae,Marafivirus,Olive latent virus 3
43788,Secoviridae,Torradovirus,Tomato chocolate virus
44037,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/HZ04/2007
44038,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/L13/2007
44039,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LG02/2007
44040,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LG03/2007
44041,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LH10/2007
44042,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LS10/2007
44043,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LS11/2007
44044,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LY03/2007
44045,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/LY07/2007
44046,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/PD03/2007
44047,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/TD03/2007
44048,Astroviridae,Mamastrovirus,Bat astrovirus Ha/Guangxi/WW06/2007
44049,Astroviridae,Mamastrovirus,Bat astrovirus Hl/Guangxi/LD117/2007
44050,Astroviridae,Mamastrovirus,Bat astrovirus Hl/Guangxi/PX05/2007
44051,Astroviridae,Mamastrovirus,Bat astrovirus Hl/Guangxi/WT03/2007
44052,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/BZ9/2007
44053,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/CJ04/2007
44054,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/HY11/2007
44055,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/LC01/2007
44056,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/LC03/2007
44057,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/LC08/2007
44058,Astroviridae,Mamastrovirus,Bat astrovirus Hp/Guangxi/WW08/2007
44059,Astroviridae,Mamastrovirus,Bat astrovirus Ii/Guangxi/JY10/2007
44060,Astroviridae,Mamastrovirus,Bat astrovirus Ii/Guangxi/JY11/2007
44061,Astroviridae,Mamastrovirus,Bat astrovirus Ii/Guangxi/JY14/2007
44062,Astroviridae,Mamastrovirus,Bat astrovirus Ms/Anhui/A894/2005
44063,Astroviridae,Mamastrovirus,Bat astrovirus Ms/Anhui/A909/2005
44064,Astroviridae,Mamastrovirus,Bat astrovirus Ms/Fujian/A1196/2006
44065,Astroviridae,Mamastrovirus,Bat astrovirus Ms/Guangxi/A629/2005
44066,Astroviridae,Mamastrovirus,Bat astrovirus My/Guangxi/JY01/2007
44067,Astroviridae,Mamastrovirus,Bat astrovirus My/Guangxi/JY06/2007
44068,Astroviridae,Mamastrovirus,Bat astrovirus My/Guangxi/JY07/2007
44069,Astroviridae,Mamastrovirus,Bat astrovirus Myr/Anhui/A900/2005
44070,Astroviridae,Mamastrovirus,Bat astrovirus Myr/Jiangxi/A819/2005
44071,Astroviridae,Mamastrovirus,Bat astrovirus Pa/Sichuan/A367/2005
44072,Astroviridae,Mamastrovirus,Bat astrovirus Rf/Hubei/273/2004
44073,Astroviridae,Mamastrovirus,Bat astrovirus Rf/Shandong/A977/2006
44074,Astroviridae,Mamastrovirus,Bat astrovirus Rp/Jiangxi/A860/2005
44075,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/DX02/2007
44076,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/DX04/2007
44077,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/DX09/2007
44078,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/DX14/2007
44079,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/DX17/2007
44080,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/DX19/2007
44081,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD04/2007
44082,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD06/2007
44083,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD103/2007
44084,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD110/2007
44085,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD111/2007
44086,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD113/2007
44087,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD116/2007
44088,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD145/2007
44089,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD153/2007
44090,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD154/2007
44091,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD157/2007
44092,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD16/2007
44093,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD27/2007
44094,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD38/2007
44095,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD39/2007
44096,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD43/2007
44097,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD45/2007
44098,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD46/2007
44099,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD54/2007
44100,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD61/2007
44101,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD67/2007
44102,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD71/2007
44103,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD77/2007
44104,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD89/2007
44105,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD90/2007
44106,Astroviridae,Mamastrovirus,Bat astrovirus Tm/Guangxi/LD98/2007
44132,Bunyaviridae,Phlebovirus,Candiru phlebovirus
44134,Bunyaviridae,Phlebovirus,Chagres virus
44135,Bunyaviridae,Phlebovirus,Chilibre phlebovirus
44137,Bunyaviridae,Phlebovirus,Itaporanga virus
44138,Bunyaviridae,Phlebovirus,Gabek Forest virus
44141,Bunyaviridae,Phlebovirus,Rio Grande virus
44142,Tymoviridae,Marafivirus,Grapevine Syrah virus 1
44203,Flaviviridae,Flavivirus,Chaoyang virus
44266,Partitiviridae,Alphapartitivirus,Heterobasidion partitivirus 3
44462,Geminiviridae,Begomovirus,Tomato leaf curl Sulawesi virus
44533,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1
44534,Geminiviridae,Eragrovirus,Eragrostis curvula streak virus
44538,Flaviviridae,Flavivirus,Chimeric Tick-borne encephalitis virus/Dengue virus 4
44543,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1001/2008
44544,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1002/2008
44545,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1003/2008
44546,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1004/2008
44547,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1006/2008
44548,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1009/2008
44549,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1010/2008
44550,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1012/2008
44551,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1013/2008
44552,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1014/2008
44553,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1015/2008
44554,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1016/2008
44555,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1017/2008
44556,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1019/2008
44557,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1020/2008
44558,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1021/2008
44559,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B1023/2008
44560,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B2004/2008
44561,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B2031/2008
44562,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B2032/2008
44563,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B2036/2008
44564,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B2039/2008
44565,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3003/2008
44566,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3004/2008
44567,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3005/2008
44568,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3006/2008
44569,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3007/2008
44570,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3025/2008
44571,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B3029/2008
44572,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B4021/2008
44573,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5006/2008
44574,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5009/2008
44575,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5015/2008
44576,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5018/2008
44577,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5019/2008
44578,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5020/2008
44579,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5022/2008
44580,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5023/2008
44581,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5024/2008
44582,Reoviridae,Rotavirus,Avian rotavirus turkey/Minnesota/B5035/2008
44692,Astroviridae,Avastrovirus,Avian nephritis virus 3
44694,Bunyaviridae,Hantavirus,Hantavirus Oln6470
44695,Bunyaviridae,Hantavirus,Hantavirus Oln6469
44733,Partitiviridae,,Aspergillus fumigatus partitivirus
44740,Betaflexiviridae,Trichovirus,Fig latent virus 1
44794,Arenaviridae,,Arenavirus sp. 9408800235/ZAF
44796,Nodaviridae,Betanodavirus,Betanodavirus siakap/UPM08-1MSP/2008/MYS
44823,Bunyaviridae,Hantavirus,Hantavirus Oxyju/RPR/07-10056/BRA/2006
44824,Bunyaviridae,Hantavirus,Hantavirus Akomo/RPR/07-10027/BRA/2006
44825,Bunyaviridae,Hantavirus,Hantavirus Akomo/RPR/07-10028/BRA/2006
44826,Bunyaviridae,Hantavirus,Hantavirus Olini/RPR/07-10091/BRA/2007
44861,Rhabdoviridae,Lyssavirus,Lyssavirus Ozernoe
44862,Inoviridae,,Vibrio phage VEJphi
44883,Closteroviridae,Crinivirus,Lettuce chlorosis virus
44897,Geminiviridae,Begomovirus,Malvastrum yellow vein Baoshan virus
44899,Parvoviridae,Brevidensovirus,Culex densovirus 0507JS11
44911,Reoviridae,Orthoreovirus,Rough green snake reovirus
44937,Flaviviridae,Flavivirus,Quang Binh virus
